Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who made improvements in function,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay high-risk residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay low-risk residents who lose control of their bowels or bladder,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
LIFE CARE CENTERS OF AMERICA,311,199,29,1,5,19,9.5,96,1,3,3.1,2.9,3,3.8,3.7,3.3,0.7,43.9,43.5,0.5,224,1.1,5326547.96,26766.57,17,0.1,20.1,11.3,1.4,2.5,79.1,80.5,87,1.58,1.48,12.8,3.2,8.5,1.3,0.9,18.2,14.2,94.3,95.3,0,54.2,6.1,6.1,19.6,10.4,22.4,8.5
LIFE CARE SERVICES,312,24,15,0,0,1,4.2,79.2,20.8,0,4.1,3.7,4.3,4.4,4.7,4.2,1,45.6,43.1,0.6,19,0.8,364950.96,15206.29,1,0,20.4,9.3,0.7,2.1,82.2,83.7,89.1,1.57,1.01,12.8,4.7,7.1,2.5,0.8,17.6,14.2,94.6,94.2,0,60.2,5.1,2,15.7,10.5,36.1,9.3
LIFEBRITE HOSPITAL GROUP,654,2,2,0,0,1,50,100,0,0,1.5,2,1,3,3.2,2.8,0.6,,,,2,1,183198.37,91599.19,0,0,,,,,,65.3,85.7,1.66,1.35,19.6,4.7,6.3,4.3,2.2,10.4,19.4,98.2,98.1,0,18.9,6.5,0.1,27.6,,48.4,0.7
LIFEPOINT HOSPITALS,314,11,7,0,0,0,0,90.9,0,9.1,3.8,3.8,3.5,3.8,6.1,5.4,3,38.8,29.5,0.4,19,1.7,81832.21,7439.29,1,0.1,20.6,13.1,1.7,3.3,73.7,87.3,89.7,1.24,1.44,14.9,2.5,10.5,4.3,0.4,22.5,17.4,99.4,96.2,0,51,6.2,3.1,18.9,10.2,26.1,5.5
LIFESPACE COMMUNITIES,315,16,7,0,0,0,0,0,100,0,4.2,3.6,4.3,4.1,4.5,3.9,1.3,39.7,38.4,0.6,24,1.5,86811.5,5425.72,0,0,22.8,9,1.2,1.7,81.3,81.8,84.2,1.61,1.13,12.4,5.1,7.3,2.8,1.5,16.1,9.9,97.1,95.4,0,64.5,7.1,4.6,18.4,10.4,43.5,29.5
LIFESPARK,316,4,2,0,0,1,25,25,75,0,1.3,1.3,3,3.5,3.4,3,0.6,40.5,45.1,,10,2.5,256866.59,64216.65,0,0,19.2,10.6,1.6,1.8,73.6,73.5,85.7,1.27,1.26,16.9,5.5,5.3,1.1,0.7,18.8,15.2,96.4,95,0,60.2,3.5,3.4,11.3,9.2,35.4,7.3
LINKS HEALTHCARE GROUP,318,20,1,0,0,0,0,100,0,0,3.1,2.6,2.9,4.2,4.1,3.7,0.5,42.2,48.5,0.7,44,2.2,536929.07,26846.45,4,0.2,20.7,10.7,1,1.4,86.3,96.1,97.1,1.94,1.42,7,1.6,8,1.1,1.2,11.3,7.4,97.8,98.7,0,26.9,5.7,2.3,11,10.4,39.6,18.8
LIONSTONE CARE,611,18,1,0,0,0,0,100,0,0,2.2,2.4,1.7,4.1,3.6,3.2,0.6,55,55.8,0.7,46,2.6,610384.03,33910.22,5,0.3,23.9,13.7,1.2,2.1,79.9,57,71.2,1.88,2.01,12.9,2.7,7.7,0.9,0.2,11.6,13.7,87.2,87,0,39.3,7.2,36.3,24.8,10,11.3,1.8
LITTLE SISTERS OF THE POOR,319,3,3,0,0,0,0,0,100,0,5,4.7,5,3,5.9,5.4,1.5,23,20.8,0,0,0,0,0,1,0.3,,,,,,78.1,50,1.98,1.01,6.3,8.4,2.9,4.6,0.8,22.8,17.2,100,92.9,0,48.8,5.8,2.8,12.1,,35.2,22.5
LIVE OAK HEALTHCARE,320,7,1,0,0,0,0,100,0,0,3,3.1,2.3,2.4,3.5,3.3,0.3,55.5,16.7,0.6,10,1.4,179135.75,25590.82,2,0.3,26.4,12,3.5,2.8,56.1,82.8,93.2,2.03,2.23,13.4,3.3,6.9,1.9,1.2,17.9,20.3,99.1,98.3,0,42.5,1.8,4.4,30.1,12.3,18.6,2.2
LME FAMILY HOLDINGS,321,15,3,0,0,2,13.3,100,0,0,2.1,1.9,2.7,3.3,3.5,3.2,0.7,63.5,60.8,1,63,4.2,748467.61,49897.84,0,0,21.5,9.7,2.1,2.5,78.8,47.1,44,1.76,1.38,12.1,1.9,7.7,1.6,1.4,16.8,17.4,85.3,68.2,0.1,48.2,6.1,4.9,19.3,10.6,43.3,24.5
LOFT HEALTHCARE,322,5,1,0,1,1,20,100,0,0,1.4,1.6,1,2.4,3.1,2.8,0.4,50.1,70.3,0,33,6.6,1330869.44,266173.89,14,2.8,22.8,11.4,1.6,4.2,66.6,71.7,81.5,1.85,1.95,11.9,2.7,8.4,2.1,2.6,14.8,10.1,95.8,91.2,0.1,53.8,12.5,11,21.7,11.3,54.7,22.5
LONGWOOD MANAGEMENT CORPORATION,323,37,1,0,2,8,21.6,100,0,0,2.1,1.9,2.5,3.8,4.1,3.8,0.4,41.5,42.2,0.5,149,4,1764838.48,47698.34,12,0.3,21.8,7.2,2.3,0.6,77.5,79.7,79,2.58,1.15,11.3,1.4,9.5,2.1,0.9,9.5,10.6,96.6,95.8,0.4,40,5.9,0.1,11.1,11,47.5,15.5
LORIEN HEALTH SERVICES,324,8,1,0,0,0,0,100,0,0,3.6,3.6,3.6,3,4.2,3.7,0.9,54.1,50,0.8,7,0.9,47289.56,5911.2,0,0,24.3,9.8,1.2,3.2,75.7,92.7,89.2,1.61,1.33,14.3,4.1,9.7,5.9,1.2,29.2,16.9,97.8,94.1,0.1,77,6.3,10.8,10.9,11,40.8,6.9
LUTHERAN SENIOR SERVICES,326,8,2,0,0,0,0,0,100,0,4.9,4.5,4.5,4.6,4.7,4.3,0.9,41.5,39.4,0.2,2,0.3,25960,3245,0,0,18.9,13.4,0.6,3.5,89.9,88.9,87.1,1.31,1.39,14.5,4.9,5,2,0.7,10,5.7,94,95.9,0,51,5.8,2.5,21.4,10.5,19.8,3
LUTHERAN SERVICES CAROLINAS,327,7,1,0,0,1,14.3,0,100,0,4,3.6,4,2.9,4.6,4.2,0.7,40.3,23.8,0.6,1,0.1,13095,1870.71,0,0,20.1,9.4,1.8,4.3,70.7,84.1,81.6,1.57,1.17,16.6,5.4,7.2,4.4,2.3,22.2,16.6,98.5,94.7,0,65.6,7.9,1.5,25.8,9.2,34.5,3.4
MADISON CREEK PARTNERS,328,12,2,0,1,1,8.3,100,0,0,2.3,2.4,2.3,3.7,3.3,3.2,0.5,62.4,61.5,0.3,54,4.5,807000.64,67250.05,1,0.1,16.8,11.3,2.4,1.4,76.2,76.9,79.8,1.49,1.91,22,3,7,0.9,0.9,15.4,13.3,94.6,95.8,0,39.6,6.1,1.1,14.7,10.6,40.9,10.2
MAGNOLIA MANOR SENIOR LIVING,329,6,1,0,0,0,0,0,100,0,2.8,3.2,1.8,3.5,3.8,3.2,0.5,55,48,0.7,5,0.8,14696.7,2449.45,0,0,21.5,13.9,1.3,2,83.6,90.9,94.1,1.42,2.29,13.5,3.6,9.7,3,0.9,13,12.7,98.6,99.6,0,25.1,4.6,2.4,20.7,11.5,46.7,1.2
MAINE VETERANS' HOME,330,5,1,0,0,1,20,0,100,0,4.6,4.2,4.8,3.6,5.7,4.7,1.8,38.2,29.4,0.4,2,0.4,8550.75,1710.15,0,0,9.9,9.1,1.5,5.2,67.4,76.1,81.5,0.86,1.11,14.1,4.6,5.1,2.7,2.4,18.1,14.6,96.7,94.6,0,64.4,7.6,9.3,16.1,9.4,31.6,6.2
MAJESTIC CARE,331,27,3,2,2,3,11.1,70.4,7.4,22.2,1.6,1.7,1.2,3.8,3.1,2.7,0.4,57.9,55,0.6,71,2.6,2839398.12,105162.89,23,0.9,20,10.2,2.4,3.5,70,56.3,59.7,1.49,1.1,18.2,3.3,9.1,0.8,0.5,6.9,11.9,87.3,85.1,0,52.5,7.5,44.4,22.9,10.4,39.2,23.8
MAJOR HOSPITAL,332,13,1,0,4,1,7.7,30.8,38.5,30.8,1.9,1.8,1.7,2.9,3.7,3.2,0.5,55.6,60.7,0,50,3.8,952598.37,73276.8,8,0.6,24,8.7,1.5,2.3,73.1,53.1,53.2,1.81,1.46,17.4,3,8.4,1.8,1,16.7,17.2,87,74.7,0,56.6,3.8,12.5,21.1,10.9,49.4,23.2
MAPLE SPRINGS LIVING,333,3,2,0,0,0,0,100,0,0,2.7,2,4.3,4,5.9,5.3,1.4,54.8,56.8,0,31,10.3,171479.23,57159.74,1,0.3,23.8,14.4,1.9,2.7,81,89.4,83.8,1.37,1.59,15,5.1,11.4,5.7,5.1,11.3,8,98.8,95.5,0,55.7,4.1,4.5,14.4,9.9,11.6,2.3
MARINER HEALTH CARE,334,18,1,0,2,2,11.1,100,0,0,3.2,2.7,3.7,4.3,4.3,4,0.5,43.8,36.1,0.6,102,5.7,676515.42,37584.19,2,0.1,19.7,10.6,1.1,0.5,80,99.7,99.7,1.93,1.14,12.7,2.2,7.8,0.7,0.8,6.5,6,99.9,100,0.2,22.9,4.5,1.4,11.3,11.3,41.7,24.7
MARQUIS COMPANIES,335,16,3,0,0,0,0,100,0,0,4.4,4.1,4.3,3.6,5,4.5,0.9,47.8,35.3,0.2,13,0.8,287549.91,17971.87,0,0,19.1,11.8,1.2,5.5,79.7,74.5,87,1.27,1.56,14.6,1.9,12.4,2.1,2.5,22.8,14.4,90,95.9,0.1,59,5.9,3.6,10.1,9.7,28.1,3.7
MARQUIS HEALTH SERVICES,336,64,9,1,0,6,9.4,98.4,0,1.6,3,2.7,2,4.4,3.4,3,0.6,45.3,46.1,1,95,1.5,2342528.45,36602.01,4,0.1,23.4,9.7,1,2.1,89.8,63.2,64.1,1.56,1.19,14.1,2.7,8.1,0.9,0.4,9.1,9.8,91.9,86.3,0.1,59.2,6.8,23.8,17.3,10.7,41.6,23.9
MARSH POINTE MANAGEMENT,337,6,2,0,1,0,0,100,0,0,2.7,2.8,3.8,2.5,3.8,3.6,0.6,47.1,50.5,0,8,1.3,193607.57,32267.93,1,0.2,19.5,19.3,0,4.2,72.6,55.1,63.7,2.11,2.02,30.7,3.2,7.1,3.9,1.3,14.9,16,93.9,88.3,0,34.2,3.3,1.8,25.5,10.4,66.2,10
MAXIMUS HEALTHCARE GROUP,338,10,3,0,1,1,10,100,0,0,3.8,3.4,2.7,3.7,3.6,3.1,0.5,46.5,50.8,0.3,18,1.8,705882.59,70588.26,1,0.1,19.3,11.6,2.4,2.8,78.1,75.3,80.2,1.76,1.43,7.2,2.1,8.8,1.6,1.1,16.5,15.7,92.7,94.9,0.1,56.2,8.5,3.1,19.6,10.3,51.4,14.2
MAYER FAMILY,340,9,3,0,0,1,11.1,100,0,0,3,2.7,3.4,3.4,3.7,3.2,0.7,48.7,45.8,0.2,20,2.2,428055.78,47561.75,2,0.2,18.9,11.1,1.5,3.1,72.2,66.2,68,1.55,1.64,11.7,1.9,9.8,2.7,1.3,16.6,18.3,90.2,83.9,0,49.6,6.2,6.9,13.5,11.5,47.5,8.4
MB HEALTHCARE,341,6,1,0,0,0,0,100,0,0,3,2.7,2.2,4.7,3.2,2.9,0.5,48.3,35.4,0.2,10,1.7,107166.78,17861.13,1,0.2,24,5.7,1.1,2,93.5,95.3,99.6,2.08,1.06,6.8,1.5,6.4,0.1,1.2,5.4,4.1,100,99.5,0,46.8,5.4,11.1,15.8,10.2,64,59
MCCULLOCH COUNTY HOSPITAL DISTRICT,342,5,1,0,0,0,0,80,0,20,2.4,3,1.8,3.2,3.1,2.7,0.3,60.7,57.8,0.4,6,1.2,99322.33,19864.47,3,0.6,25.4,13.9,0.2,2.2,69.6,74.6,97,1.98,2.44,2,2.5,5.3,0.6,1.7,14.4,16.2,97.4,100,0.2,46.4,5.8,1.9,29.3,11.1,43.2,3.9
MEDICAL FACILITIES OF AMERICA,343,37,2,0,2,2,5.4,94.6,2.7,2.7,2.3,2.6,1.2,4.1,3.2,2.8,0.4,61.1,58.8,0.6,42,1.1,2374244.87,64168.78,6,0.2,19.3,10.9,1.3,2.8,81.3,69.2,71.4,1.31,1.15,9.8,3.5,9.4,1.6,0.5,15.8,18.9,92,89,0,57.5,5.6,31.6,19.7,10.9,27.9,2.8
"MEDICALODGES, INC.",344,22,3,0,1,2,9.1,100,0,0,2.1,2.2,2.5,2.9,3.8,3.2,0.6,99.3,100,1,21,1,346495,15749.77,7,0.3,20.2,16.5,1.2,3.2,82,56.3,67.2,1.55,2.1,19,4.4,6.1,3.1,1.5,20.3,18.7,91.3,83.8,0,43.4,4.8,1.9,24.1,10.3,32.7,3.6
MEDILODGE,345,50,1,0,1,6,12,100,0,0,3,2.6,3.4,4.2,3.9,3.2,0.9,53.3,46,0.7,92,1.8,3270647.8,65412.96,19,0.4,20.9,11.8,1,2.2,85.7,74.6,72.9,1.57,1.63,14,2.8,9,1.1,0.6,10.4,8,94.9,93.3,0.3,49.1,7.3,1.9,25.4,10.5,26.2,2.7
MERCYHEALTH SYSTEM,346,3,2,0,0,0,0,33.3,66.7,0,4.3,4.3,4.5,3.3,6.6,5.5,2.5,48,44.4,0,2,0.7,80078.64,26692.88,0,0,24.2,10.5,0.7,3,63.2,95.8,96.7,1.03,1.34,0,0,9.8,2,0,25.6,10.8,94.7,100,0,,7.7,0,0,10.5,29.2,4.1
MGM HEALTHCARE,348,26,3,1,1,3,11.5,100,0,0,1.7,1.9,1.4,3.1,3.2,2.7,0.4,64.6,59.7,0.5,70,2.7,1960005.2,75384.82,13,0.5,19.2,11.8,0.7,2.2,70,52.5,57.4,1.9,2.07,13.5,2.8,7.3,0.7,0.2,14.9,19.7,85,75,0,37.6,4.1,26.5,20.5,10.2,32.6,39.8
MIDWEST HEALTH,350,10,2,0,0,0,0,100,0,0,2.9,2.8,3.6,3.1,3.9,3.4,0.6,49.5,40.9,0.2,8,0.8,135920.34,13592.03,0,0,22.5,19.3,0.5,5.6,74.7,60.2,72.6,1.88,2.01,13.7,3,6.9,2.1,1.8,16.6,15.6,95.1,93.9,0,44.4,4.4,3.5,19.1,10.2,18.9,3.3
MILLENNIUM HEALTH SYSTEMS,351,5,2,0,0,1,20,100,0,0,3.2,2.8,3,4.2,4.9,4.5,1.2,28.1,32.2,0.4,5,1,318584.2,63716.84,0,0,29.2,6.5,0.4,3.6,60.3,63.5,57.6,1.73,0.6,7.9,1.3,7.6,1.5,0.8,12.4,10.4,93.2,88.3,0.2,56,3.1,1.5,27.9,10.5,40.7,1.4
MILLER'S MERRY MANOR,352,33,1,0,0,1,3,100,0,0,3.1,3.1,2.1,3.9,3.5,3.1,0.7,53,44.2,1.1,13,0.4,215420.2,6527.88,1,0,22.4,10.8,1.5,3.8,75.3,81.9,83.9,1.33,1.61,11.6,4.1,6.9,2.1,0.6,12.4,13.4,97.2,93.7,0,47,6.3,20.2,16.7,10.3,32.9,11.9
MISSION HEALTH COMMUNITIES,354,41,5,1,0,1,2.4,97.6,2.4,0,2.4,2.7,2.2,2.9,3.3,2.9,0.6,50.9,46.6,0.5,37,0.9,802149.24,19564.62,5,0.1,18.3,12.2,3.2,2.3,74.9,68.8,72.2,1.58,1.77,25.3,3.5,7.5,4,1.8,16.3,15.3,94.7,95.3,0,36.8,4.4,15.3,27.5,10.1,21.6,2.1
MISSION HEALTH SERVICES,355,5,2,0,0,1,20,60,40,0,2.4,2.4,2.6,4,3.5,3,0.9,61.8,57.7,1.3,10,2,171309.01,34261.8,2,0.4,7.3,11.5,1.2,5.1,74.5,78.5,78.6,0.87,1.17,17.6,2.7,4.6,2,1.6,18.6,17.2,97.1,87.1,0,43.2,5.7,9.1,27.2,8.9,8.2,1.3
MISSION POINT HEALTHCARE SERVICES,356,25,2,1,5,13,52,100,0,0,2.1,2,1.5,4.4,2.6,2.2,0.5,52.9,54.5,1,103,4.1,3870475.46,154819.02,37,1.5,21.1,8.6,1.5,1.9,77.7,78.2,82.3,1.41,1.07,14.2,2.9,7.4,1.6,0.9,8.8,9.5,93.9,94.4,0.1,41,5.4,4.4,18.3,10.3,29.9,6
MISSISSIPPI CARE CENTER,357,5,1,0,0,0,0,100,0,0,2.8,3,3.6,2.4,4.2,3.2,0.6,48.5,29.8,0.8,5,1,25688,5137.6,0,0,20.6,7.9,4.1,2.1,66.5,91.2,91.4,2.08,2.33,19.5,2.4,7.1,4,0.9,24.7,19.1,99.7,99.1,0.1,44.8,5.9,2.1,24.8,13.4,30.3,1.7
ML HEALTHCARE,358,6,1,0,0,0,0,100,0,0,3,3,1.7,4.5,3.2,2.9,0.4,60.2,41.7,0.2,11,1.8,152741.35,25456.89,0,0,23.8,13.3,0.8,0.5,92.6,54.7,69.6,1.44,1.88,8.8,4.2,5.6,0.9,1.4,14.3,13.5,91.2,82.1,0,50.9,5.9,2.1,22,10,19.9,23.4
MOMENTUM SKILLED SERVICES,360,6,1,0,0,0,0,66.7,0,33.3,2,2.5,1.2,3.8,3.3,2.9,0.2,63.1,62.7,0.3,12,2,255082.85,42513.81,1,0.2,22.2,10.8,1.5,1.8,80.8,90.1,92.3,2.09,2.5,5.9,5.8,7.2,0.4,0.9,11.6,11.2,98.1,98.6,0,60,4.8,3.1,18.3,11.1,5.1,4.4
MONARCH HEALTHCARE MANAGEMENT,361,45,1,0,1,1,2.2,93.3,6.7,0,2.1,2.1,3.1,2.9,3.4,3.1,0.8,49.6,56.8,0.7,154,3.4,1857515.49,41278.12,9,0.2,19.6,15,2.5,2.1,76.7,69.4,80.4,1.65,1.86,19.5,2.5,8.6,2.4,2.1,19.7,14.8,92.8,92.1,0,48.2,5.3,5.5,12.7,10,41.5,15.4
MOSHE BLONDER,676,8,1,0,2,4,50,100,0,0,1.1,1.4,1,2.1,2.5,2.1,0.4,58.2,60.3,1.4,38,4.8,2157267.47,269658.43,11,1.4,26.6,14.1,3.5,0.4,58.7,53.4,50.5,2.11,2.08,20.2,2.2,10.9,0.6,0.3,15.1,14.4,89.6,77.3,0,31.4,1.8,76.7,16,10.3,23.5,1.1
NAHS,362,18,1,0,0,2,11.1,100,0,0,3.4,2.7,2.4,4.7,4.4,3.9,0.5,46.7,53.2,0.9,29,1.6,185695.19,10316.4,1,0.1,20.1,10.4,1,0.8,88,92.7,97.5,1.76,1.47,5.6,1.4,8.8,0.8,0.6,8.5,7.7,97.7,99,0.1,39.6,4.3,9.8,10.8,10.5,29.1,22.3
NATIONAL HEALTH CARE ASSOCIATES,363,32,6,1,0,3,9.4,100,0,0,3.5,3.1,2.5,4.3,3.7,3.3,0.7,42.8,41.4,0.4,27,0.8,342445.13,10701.41,2,0.1,19.8,10.3,1,2.4,80.6,72.2,72.9,1.42,1.28,16.3,3.8,6.8,1.1,0.5,15.8,12.9,96.2,92.3,0,62.9,7.6,32.8,19.6,9.8,20.8,2.7
NATIONAL HEALTHCARE CORPORATION,364,64,7,0,1,5,7.8,100,0,0,3.5,3.3,3,3.6,3.8,3.3,0.7,53.5,30.8,0.2,44,0.7,1492018.63,23312.79,5,0.1,18.9,10,1.5,0.7,77,88.4,85.8,1.39,1.28,14.9,4.4,6.6,3.4,1.7,23.8,17.7,95.9,92.6,0,56.3,5.5,3.7,24.2,11.2,24.9,6
NATIONAL LUTHERAN COMMUNITIES & SERVICES,365,2,2,0,0,0,0,0,100,0,4,3.5,4,4.5,4.7,4.1,1,24.1,39.1,0,1,0.5,655,327.5,0,0,13.5,8.8,1.3,4.6,76.7,83.3,94.1,1.04,0.52,27.7,2.1,5.2,1.5,0.2,18.9,9.4,98.8,84.8,0,46.1,1.6,2.2,30.2,8.6,32.1,5.3
NATIONWIDE HEALTHCARE SERVICES,366,7,2,1,1,1,14.3,100,0,0,2.2,2.2,3.2,2.7,3.7,3.4,0.7,54,47.2,0.1,15,2.1,540963.21,77280.46,0,0,21.4,11.4,1.3,4,69.8,45.8,44.9,1.95,1.79,10.3,2.2,7.8,1.7,0.9,20,18.7,91.8,76.6,0,56,8.6,2.9,17.4,9.9,45.2,5.7
NEURORESTORATIVE,367,5,3,0,0,1,20,100,0,0,3.6,3.2,3.6,3.6,7.8,7.3,2.4,47.8,48.1,0.5,8,1.6,122455.45,24491.09,0,0,28,12.8,7.7,0,93.9,80.1,77.5,1.35,1.4,10.6,1.4,7.1,2.8,1,26.8,22.2,93.7,90.5,0.6,66.7,2.3,0.8,36.1,10.4,21.3,8.2
NEW YORK CITY HEALTH + HOSPITALS,368,5,1,0,0,0,0,0,0,100,4.4,3.6,4.8,5,5,4.2,1.6,30.3,38.2,0,2,0.4,1312.94,262.59,0,0,18.9,5.4,0.8,3.2,78.9,77.5,67.8,1.4,0.58,5.7,1.3,14.8,0.9,0.3,10.9,9,99.1,94.7,1,41.8,3.5,8.8,4,9.5,37.6,10.1
NEXCARE HEALTH SYSTEMS,369,18,1,0,0,0,0,100,0,0,3.8,3.3,3.2,4.4,3.6,3.2,0.6,47.9,40.9,0.8,27,1.5,725302.8,40294.6,7,0.4,21.7,10.4,0.9,0.9,82.2,80.6,77.3,1.75,0.92,11.9,2.5,7.4,1.3,0.4,9.3,9.2,93.5,90.7,0.1,38.2,5.7,2.3,16.1,10.8,31.9,12.5
NEXION HEALTH,370,49,3,0,4,10,20.4,95.9,0,4.1,2.4,2.5,2.4,2.7,3.4,2.9,0.4,46.1,38.5,0.5,66,1.3,2128463.82,43438.04,9,0.2,24.4,14.4,1.9,2.7,67,86.2,90.6,1.76,2.24,11.2,3,7,0.8,1.9,15,17.8,99.1,99.4,0.1,50.7,5.3,1.9,24.9,11,14,6.9
NEXT STEP HEALTHCARE,371,15,1,0,4,0,0,100,0,0,2,2.1,2.1,2.3,3.4,3.1,0.6,52.2,55.2,0.6,29,1.9,958314.45,63887.63,1,0.1,23.7,11.2,1.3,1.7,65.7,57.3,50,2.08,1.69,23.3,3.1,6.3,2.2,1.5,20.3,22.3,87.5,79.5,0.3,54.9,6.2,5.3,21.8,10.7,38.5,38.7
NHS MANAGEMENT,372,48,4,0,0,1,2.1,100,0,0,2.2,2.3,2.8,2.7,3.8,3.2,0.5,53.1,47.4,4.1,30,0.6,1023661.02,21326.27,2,0,23.6,11.8,2.3,3.4,75.7,77,81.8,2.01,1.8,21.3,3,11.1,1.8,1.7,11.3,12.4,92.3,92.4,0,41.3,5.3,1.3,24.8,10.7,22.6,1.8
NOLAND HEALTH,374,9,1,0,0,0,0,11.1,88.9,0,2.7,2.6,3.6,3.4,3.7,3,0.6,48.2,38.5,0.2,4,0.4,17446,1938.44,0,0,23.6,11.4,2.3,2.7,73.5,73.3,72.1,1.52,1.27,20.9,3.5,7.8,3.5,1.1,8.8,8.2,93.1,88.1,0,45.1,5.9,0.4,23.1,10.2,28.3,0.4
NORTH COUNTRY ASSOCIATES,375,9,1,0,1,0,0,88.9,11.1,0,2.2,2,3.8,2.9,4.3,3.8,0.8,60.9,50.3,0.8,5,0.6,190992.4,21221.38,0,0,15.7,14.5,1.6,2,65,60.5,52.8,1.55,2.36,18.7,4.1,6,3.6,2,19.3,11.7,94.8,82.1,0,58.6,4.8,4.7,16.6,9.3,31.8,4
NORTH MISSISSIPPI HEALTH SERVICES,376,2,2,0,0,0,0,0,100,0,2.5,2.5,4.5,2,4,3.4,1,37.3,32.2,0,0,0,0,0,0,0,25.4,7.5,5.4,0,55.4,86.9,89.5,1.64,1.06,21.4,2.7,8,4.1,2.3,22.3,21.4,98.3,98.4,0,24.8,9,0,21.1,10.3,20.8,3.6
NORTH SHORE HEALTHCARE,377,59,4,0,2,1,1.7,100,0,0,2.9,2.9,2.8,3.4,3.3,3,0.9,50,47.3,0.7,80,1.4,2133151.77,36155.11,11,0.2,17.7,12.4,1.2,3.2,76,78.9,88.4,1.36,1.99,15,3.3,7.7,2.9,1.6,19.2,13.9,95,97.3,0.2,50.7,4.5,3.3,15.1,10.1,39,11.1
NURSING CARE MANAGEMENT OF AMERICA,379,5,2,0,0,0,0,100,0,0,2.4,2.4,2.4,3.6,3.8,3.3,0.6,59.7,55.4,0.3,12,2.4,165425.93,33085.19,2,0.4,22.5,13.9,2,1,70.6,69.8,81.9,1.5,1.56,12,3.8,6.4,0.6,0.4,20.8,18,87.1,90.7,0.2,53.6,6.6,11.9,20.8,10.1,38.2,7
O'NEILL HEALTHCARE,380,6,1,0,0,0,0,100,0,0,4.5,4,1.8,5,3.4,3.1,0.5,50.5,37.8,0.5,2,0.3,18250,3041.67,0,0,23.4,7.8,1.1,1.5,84.7,77.7,86.6,1.3,0.79,4.3,1.4,5.8,0.3,0.2,4.4,5.8,93.1,94.9,0,33.2,4.4,16.7,22.9,10.1,0,14.6
OAKBEND MEDICAL CENTER,579,11,1,0,0,1,9.1,81.8,9.1,9.1,2.5,2.6,1.4,3.7,3.2,2.8,0.4,48.4,58.2,1,17,1.5,518959.78,47178.16,2,0.2,23.8,11.4,1,1.9,65.5,80.7,91.2,1.9,1.82,8.5,2.1,11.3,0.4,0.7,12.7,14,97.2,98.3,0.2,56.9,4.1,5.1,25.8,10.8,29.9,11.9
OCEAN HEALTHCARE,381,11,1,0,0,0,0,100,0,0,3.5,3,2.3,4.7,3.3,2.9,0.4,43.2,45.2,0.8,12,1.1,148819.3,13529.03,0,0,23.7,7.4,0.7,2.5,83,79.1,74.2,1.57,1.01,6.9,3.1,7.7,1.6,1.1,13.5,11.6,97.3,91.6,0,45.5,6.4,3.9,14.8,11.6,27.2,3.2
OHANA PACIFIC MANAGEMENT CO.,382,6,1,0,1,0,0,100,0,0,3.8,3.3,3.8,4.3,4.2,3.7,1.5,36.6,40.2,0.5,4,0.7,147523.35,24587.23,1,0.2,17.5,23.2,1.2,1.1,75.7,83.7,82.4,0.95,1.55,10.6,4.8,6.1,1.8,1.9,18.6,9.6,94.1,90.9,0,36.5,5.5,2.4,4.7,9,44.3,21.6
